Наименование товара,Цена
Диван прямой Филс-Мини 120 Velvet Terra,27 990руб.
Кресло Кастел Velvet Olive,15 990руб.
Кресло Орхет Velvet Marsala,17 990руб.
Диван прямой Массе-М Мини Velvet Navy Blue,49 990руб.
Пуф Дзен Velvet Smoke,6990руб.
Диван прямой Спейс Velvet Olive,67 990руб.
Кресло Нелви Cozy Terra,25 990руб.
Диван прямой Мелоу Velvet Beige,54 990руб.
Пуф Кропс Bucle Lilac,9990руб.
Диван прямой Клаймар Velvet Terra,62 990руб.
Кресло Тут Рядом Мечта Сине-бежевое,19 990руб.
Диван прямой Аронт Мини Velvet Pink,56 990руб.
Диван прямой Лонди Cozy Ecru,54 990руб.
Кресло Салми Velvet Smoke,22 990руб.
Диван угловой Нордика мини Velvet Olive,59 990руб.
Кресло Пайл Textile Ginger,26 990руб.
Диван прямой Льери Мини Velvet Yellow,64 990руб.
Кресло поворотное Теоп Bucle Beige,36 990руб.
Кресло Кенсол Velvet Blue,19 990руб.
Диван модульный Маиль-3 Textile Latte,173 970руб.
Кресло Грейн Textile Olive,12 990руб.
Диван угловой Онте Bucle Silver,109 990руб.
Пуф Ринт Bucle Blue,11 990руб.
Кресло Витио Velvet Yellow,22 990руб.
Диван прямой Эби Velvet Coral,66 990руб.
Пуф Корк Velvet Moss,7990руб.
Кресло Бринт Soft Terra,17 990руб.
Диван модульный Риббл-1 Bucle Mint,78 980руб.
Кресло Пайпел-2 Bucle Forest,41 990руб.
Диван прямой Виена Velvet Smoke,64 990руб.
Диван прямой Види Textile Navy Blue,24 990руб.
Диван угловой Аллаум Linia Stone,56 990руб.
Кресло Ансил Bucle Milk,31 990руб.
Диван угловой Аронт Мини Velvet Olive,59 990руб.
Диван модульный Brera-8 Bucle Beige,163 970руб.
Диван прямой Сваут Velvet Mustard,67 990руб.
Диван прямой Инес Vertical Blue,47 990руб.
Диван прямой Лави Velvet Moss,45 990руб.
Диван угловой Эдвин Velvet Terra,76 990руб.
Диван угловой Дарол Velvet Silver,68 990руб.
Диван прямой Терм Velvet Beige,69 990руб.
Диван прямой Лилле Velvet Atlantic,46 990руб.
Кресло Кото Cozy Beige,32 990руб.
Диван прямой Бонент Velvet Eclipse,82 990руб.
Диван прямой Нумо-Мини 120 Textile Light,26 990руб.
Пуф Кофи Velvet Light,4590руб.
Диван угловой Нордика мини Velvet Coral,59 990руб.
Диван угловой Стаус Velvet Olive,42 990руб.
